Date,Utilisation
"Nov 28, 1997",96.2
"Dec 05, 1997",95.8
"Dec 12, 1997",96.5
"Dec 19, 1997",96.3
"Dec 26, 1997",97.1
"Jan 02, 1998",97.2
"Jan 09, 1998",96.1
"Jan 16, 1998",94.1
"Jan 23, 1998",93.3
"Jan 30, 1998",92.2
"Feb 06, 1998",92.7
"Feb 13, 1998",90.3
"Feb 20, 1998",89.8
"Feb 27, 1998",89.6
"Mar 06, 1998",93.1
"Mar 13, 1998",93.8
"Mar 20, 1998",94.2
"Mar 27, 1998",94.7
"Apr 03, 1998",94.6
"Apr 10, 1998",95.6
"Apr 17, 1998",98.5
"Apr 24, 1998",95.8
"May 01, 1998",98.2
"May 08, 1998",95.4
"May 15, 1998",96.3
"May 22, 1998",98.1
"May 29, 1998",99.5
"Jun 05, 1998",97
"Jun 12, 1998",98.2
"Jun 19, 1998",98.4
"Jun 26, 1998",98.1
"Jul 03, 1998",97.2
"Jul 10, 1998",100
"Jul 17, 1998",99.5
"Jul 24, 1998",99.6
"Jul 31, 1998",98.4
"Aug 07, 1998",98
"Aug 14, 1998",99
"Aug 21, 1998",99.8
"Aug 28, 1998",100.5
"Sep 04, 1998",98.4
"Sep 11, 1998",98.9
"Sep 18, 1998",96
"Sep 25, 1998",94.8
"Oct 02, 1998",88.5
"Oct 09, 1998",86.9
"Oct 16, 1998",86.3
"Oct 23, 1998",87.9
"Oct 30, 1998",93.1
"Nov 06, 1998",94.8
"Nov 13, 1998",95.9
"Nov 20, 1998",94.2
"Nov 27, 1998",93.2
"Dec 04, 1998",93.5
"Dec 11, 1998",93.8
"Dec 18, 1998",93.7
"Dec 25, 1998",96.8
"Jan 01, 1999",98.2
"Jan 08, 1999",96.5
"Jan 15, 1999",94.3
"Jan 22, 1999",90
"Jan 29, 1999",90.5
"Feb 05, 1999",90.8
"Feb 12, 1999",92.8
"Feb 19, 1999",91.8
"Feb 26, 1999",91.5
"Mar 05, 1999",91.1
"Mar 12, 1999",90.8
"Mar 19, 1999",90.1
"Mar 26, 1999",91
